ID,Feed,Sentiment
1353,مالكيش حظ فـي اصحابك ولا اهلك,Negative
1354,مالكيش ف الطيب نصيب,Negative
1355,مايستحون,Negative
1356,مبارك الفوز,Positive
1357,مبرد وجوهكم,Negative
1358,مت عليهم حيطه هالانذال اصحاب الاجندات الخاصه الخارجيه العميله,Negative
1359,متخافش يامؤمن قول يارب وحب ربك ده هو اللى خلق النعمه اللى انت متعلق بيها يعنى هو اعظم من النعمه دى وانت عارف كده,Positive
1360,متسمم فكره الولد وصارت حالته صعبه يا حنين انت,Negative
1361,متفقين معهم البرنامج خايس,Negative
1362,متهور وكذاب,Negative
1363,متى رح نشوف صحفيين يكشفوا فضائح الفساد وما يخافوا من اي جهه,Negative
1364,متى يجي عام 2050 عشان ادخل رجلي مع الشاشه واحطها بفمك,Negative
1365,مثال جميل جدا عبره لكل من يحمل رساله الاسلام,Positive
1366,مثل الاميره من حواليها حرس تمشي دلع و من الترف متعاليه ما كل خيال يروض له فرس مهره اصيله من حلاها غاليه,Positive
1367,مجانين احد يضحك عليك وانتم قدامه وتكمل,Negative
1368,مجانين العرب,Negative
1369,مجنون صوتها انا,Negative
1370,محششين خخخخ,Negative
1371,محظوظه هي تلك الفتاه التي سانقل ملابسي من غساله امي الى غسالتها,Positive
1372,مخالفات السير اصبحت تشكل عبئ اقتصادي على المواطن ,Negative
1373,مرره دلوع,Negative
1374,مزعج الي كثييير,Negative
1375,مساكين ها البشر,Negative
1376,مستحيل اثق بذوق حدا ما بحب يسمع لام كلثوم,Negative
1377,مسخره والله,Negative
1378,مسوي انه مندهش,Negative
1379,مش النووي ان صار وما اظنش اسرائيل تسمح باقامته بهالسهوله هو اللي بيعني انو نحن متطورين او متقدمين,Negative
1380,مش باين منيح ليش عم تكذبو,Negative
1381,مش شايف العالم مش ملاقيه الخبز كل واحد بشتغل على سياره رح يوكل هوا بارتفاع المحروقات الاكل الشرب رح يرتفع,Negative
1382,مش طبيعي سماكه الدم شو ها عدوله خرب المفطع لشو المبالغه والاوفر يعني,Negative
1383,مش عاجبو الوضع الي هو فيه,Negative
1384,مش عارف كيف الناس بتحبك يا زلمه؟,Negative
1385,مش عارف كيف اهلهم سمحولهم يقدمو في البرنامج هادول شغل بطون,Negative
1386,مش عارف ليه بيتحوله هما الى دواره عليك وكان نفسهم تكون معاهم فى الاول,Positive
1387,مش فاهم عليك لانك صاير غير مفهوم,Negative
1388,مش في محلوا,Negative
1389,مش من بني ادم انتي من جنس الحيوانات,Negative
1390,مشان الله حد يعمله هوشه بدنا نعطللنا شوي,Negative
1391,مشاهد وسخه,Negative
1392,مشتاقه لك شوق ماحسه الناس شوق يغطي معاليق الروح بضمي ترف دلع لهفه مشاعر واحساس ماابي غيرك ولاغيرك تراه همي,Positive
1393,مطلوب نصيحه منك لكي نستحضر الخشوع,Positive
1394,مع مرور والوقت  وزياده الالتزامات والمسؤوليات قد تنسى ما كنت تستمع,Negative
1395,مع مين بتحكي بتول انشالله مع حالك,Negative
1396,معايا زميل زميل يلعن المسخره كلهم مايستحون ذووولي,Negative
1397,معتيه واضح انهم يمثلون,Negative
1398,معظم اصحاب محطات الوقود وكالات الغاز متنفذين لقد زاد الغني غنى الفقير فقر,Negative
1399,معك حق,Positive
1400,معلم في حقيقه عمله هو مدرب يدرب طلاب على اكتساب المعرفه لا مجرد تلقيها,Positive
1401,معلومه ممتازه,Positive
1402,مفيش اجمل من ان الانسان يحافظ على كرامته,Positive
1403,مفيش اكرم ولا ارحم من ربنا,Positive
1404,مقاسك غير مناسب يا شريف مع نفسك,Negative
1405,مقال رائع والله يهدي البنات يارب ويرجعهم للصواب,Positive
1406,مقرف جدا هذا الشخص,Negative
1407,ملاحظه الكبسه ما بتكهرب والله,Negative
1408,ملحمه بالجامعه الاردنيه,Negative
1409,ملعوب عليهم,Negative
1410,ممرضه هايجه تمارس الجنس مع المريض,Negative
1411,ممكن يكون احسن بالاخلاص,Positive
1412,من اجل هذا تم قدوم ?? الف من الجيش الامريكي,Negative
1413,من احبه الله حبب به خلقه,Positive
1414,من اسرار النجاح المتواصل والثبات على القمه: العمل الدؤوب والانضباط بالمواعيد والاعمال والتفكير الايجابي,Positive
1415,من المدرب مرورا بالمدافعين والوسط الى المهاجمين كلهم كانوا في اسوء حالاتهم,Negative
1416,من الي ضاحك عليهم انو اصواتهم حلوه,Negative
1417,"من اهم مشاكل التعليم الجامعي في الجامعات الرسميه الاردن، مشكله الاعداد حيث ان كل جامعه متجاوزه السقف الاستيعابي لها بالاف الطلاب",Negative
1418,من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحه المياه اما كعلوم معرفه بالعلوم النوويه الطاقه فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا العناصر المشعه نظريه اينشتاين للطاقه نظريات الفيزياء الكميه البحث في عمر البروتون النيوترينو والكواركات واللبتونات وال  النظائر المشعه تفتيت الذره اشعه جاما بيتا الفا الراديوم البلوتونيوم البروتونات كافه النظريات بما فيها انواع المفاعلات النوويه تجارب الامم فيها مثل اليابان المانيا روسيا فرنسا امريكا للعلم فقط انها علوم نظريا سهله بسيطه يستطيع فهمها حتى الانسان ذو الخلفيه الرغبه العلميه على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه نسير فيه بهذا الخصوص بموازنه المخاطر المكاسب بعدها على اساس النتيجه الفائده الواضحه يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا,Negative
1419,من بغضه رب العالمين لن يحبه احد,Positive
1420,من ترك شيئا لله عوضه الله خيرا منه,Positive
1421,من ترك شيئا لله عوضه الله نورا وايمانا في قلبه,Positive
1422,من توكل على الله يعانق قلبه النور الصفاء,Positive
1423,من جد سوبر ابقار,Negative
1424,من جد مجنون,Negative
1425,من جد وجد و من سار على الدرب حصد,Positive
1426,من دون التفاؤل ما في حياه,Positive
1427,من رافق وافق,Positive
1428,من زمان ما شفت مخلوقات فضائيه ,Negative
1429,من ضحك عليك وحكالك صوتك حلو,Negative
1430,من قلت الذوق هذه الافعال,Negative
1431,من كانت له عزيمه لن يياس ومن بغي الاجر من الله ثابر  حياكم الله اخي مؤمن,Positive
1432,من وين انجيب حرام عليكم,Negative
1433,من يتقي الله يجعل له مخرجا,Positive
1434,من يتوكل على الله فهو حسبه,Positive
1435,من يستمتع برؤيه الناس في مواقف محرجه فهو سادي غير اصيل نفسه ضعيفه مريضه,Negative
1436,من يوم شفتك حاطه صورتك غسلت يدي منك,Negative
1437,منكو لله نحن لاقيين حق الخبز لحتى ترفعو البنزين صار الواحد يحب يخلص دراسه عشان ما يضل بلاردن لانو ما فيها اشي لا رواتب لا اشي جد بلد مش فقير بس كلو بوكل كلوالله ما بنلوم الحراميه هيك بلد,Negative
1438,منيك ولك,Negative
1439,مهزله التاريخ,Negative
1440,مهزله ياعيب الشووم,Negative
1441,مهو اصلا زي مشروع الباص السريع يلي استملكو عشانه شارع المحطه كامل ليسه بنسمع عنو ما شفنا,Negative
1442,مهيه خربانه ان شاء الله يعملو مفاعل قرد بطلت تفرق,Negative
1443,موضوع اكتر من رائع,Positive
1444,مؤامره معروفه ضد الشرفاء في هذا البلد,Negative
1445,مياعه وسئاله من عدوله والي معو,Negative
1446,مين اللي ضاحك عليهم وقايل ان اصواتهم حلوه,Negative
1447,مين بشار العاهه هاد الي بهدد  اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحاله ونلعن ابو الساعه اللي طلعت بشار وغيره شو هالحكي  الاردن قوي بجيشه وقائده فعلا هززلت قال سوريا قال ولا النعامه او رقبه عاليه بدهها قص,Negative
1448,مين معو دوا للصراصير جد لازمهم رش مبيد حشري للقضاء على هيك حالات متخلفه,Negative
1449,مين هاي الي بصوره وئدامها كورس,Negative
1450,ن مقابله جلاله الملك عبدالله مع قناه سي بي اس الاميركيه . يؤرقني تامين فرص الحياه الكريمه لشباب الاردن و لن نسمح للارهاب بالعبث في الاردن,Negative
1451,نادرا ما بتصير لو انه الشعب بتطور وبيتعلم مع الوقت,Negative
1452,نار جهنم تاخدو,Negative
1453,ناس تبي تتمصخر ماتدري شلون,Negative
1454,ناس عزيزه المعزه لهم غير فيهم صفات الصالحين العليه,Positive
1455,ناس مطفره من الاخر,Negative
1456,ناقص و كذاب وما في مصداقيه,Negative
1457,نت عايش خارج البلد عموما ان كان نقاشك فرد عضلات مافيه داعي اكمل حواري معك ,Negative
1458,نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال,Negative
1459,نجدد قلبنا بالايمان مع بعض,Positive
1460,نحن بنتهاوش مع الكتب,Negative
1461,نحن في الاردن نشاطر اخواننا في السعوديه احزانهم بوفاه الامير  سعود الفيصل وزير الخارجيه السعودي السابق انا لله وانا اليه راجعون,Negative
1462,نحن في زمن يهان فيه المرء ويكرم فيه الكلب,Negative
1463,نحن ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا بكره بذكركم سالوا الباص السريع الثقه معدومه القمح فاسد المصفاه مش حسب المواصفات الخضار الفواكه مواد كيماويه شوارع مش مصانه حفر مطبات الخ الافضل استغلال الطاقه الشمسيه او الريح او الماء ليس هروب من التطور انما الابتعاد عن الفشل الاكيد عبر التجارب,Negative
1464,نحن نحبك في الله ندعو لك بظهر الغيب,Positive
1465,نحن نرفض المفاعل النووي,Negative
1466,نرجو من الله ان يتقبل صلاتنا رغم ما تمر به بلدنا من ازمه صار الواحد خايف على نفسه مستعجل بصلاته انا كلما صليت اعتبرها صلاه مودع فيخشع قلبي تدمع عيناي,Positive
1467,نسال الله العفو العافيه,Positive
1468,نسال الله تعالى ان تكون بحق ارحنا بها يا بلال ليس ارحنا منه,Positive
1469,نسعى بكل همه وجهد للحصول على مصادر طاقه رخيصه تعزز من اقتصاد الاردن كون الطاقه تشكل ربع موازنه الدوله,Positive
1470,نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعه الفجر حيويه صبح يتنفس منتشيا مرحبا بكل مبادر للخير,Positive
1471,نسيانك صعب اكيد,Negative
1472,نشاطر اخوتنا في الاردن احزانهم على الاغتيال الوحشي للطيار  معاذ_الكساسبه داعين الله ان يكون من الشهداء و ان يسكنه فسيح جناته ,Negative
1473,"نظام اقتصاد الاردن فقط لا يتبع اي نظام اقتصادي موضوع، لا اشتراكي ولا راسمالي ولا اسلامي ولا مختلط.",Negative
1474,نعم احسنت واجبه على كل مسلم وحق لكل مسلم فتح الله عليكم,Positive
1475,نعم اردنا غير قابل للتلاعب بارواح ابناءه,Negative
1476,نعم الاخ و الصديق اخلاقك تدرس,Positive
1477,نعم الاخ وما اطيب قلبه,Positive
1478,نعم الصديق الوفى,Positive
1479,"نعم الله علي اكثر من ان احصيها الهدايه ، الصحه، سلامهالقلب، ذكاء العقل، صفاء المشاعر ، سلامهالحواس، حفظ الاحباب اللهم لك الحمد",Positive
1480,نعم الوقت يمر بسرعه,Positive
1481,نعم فى البدايه كلهم اروع من الروعه,Positive
1482,نعم لنجعل حب الله هو الغايه وربنا يسامح كل تائب,Positive
1483,نعم مصر عايزه راجل مش واحد وسخ بيقرف,Negative
1484,نعم والحمد لله,Positive
1485,نفسي اروح عمره واشوف الكعبه,Positive
1486,نفسي افهم من وين جاي يا ابن الكلب,Negative
1487,نفسي يوم اكل وانا مش مستعجله,Negative
1488,نفع الله بك يا دكتور,Positive
1489,نقطه النهايه وداعا,Negative
1490,نهارك اسود,Negative
1491,نهارك طيب مبروك,Positive
1492,نهايه مواطن طفران,Negative
1493,نيله تنيلكم من وين جايبين هالحثانه,Negative
1494,هات ناس تفهم والمثل بحكي اسال مجرب ولا تسال خبيير,Negative
1495,هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل,Negative
1496,هاد كلو كزب ياهبله والله,Negative
1497,هادي الاخوه الصادقه,Positive
1498,هاض بعرفو بس مقرف,Negative
1499,هاض بني ادم حقير,Negative
1500,هاكدا هو دين المحبه الصحيح بس للاسف الكثيرين يتبنوه حسب ما يشتهون,Positive
1501,هالانسان مجنون لابس بدله رياضه وجاي يغني حتى لو صوتك زين اللبس عدل,Negative
1502,هاي اخلاق خليلنا الحبيب,Positive
1503,هاي نتيجه انه ينحط انسان في موقع مسؤوليه,Negative
1504,هدا ماهو عقل هدا تخلوف,Negative
1505,هذا الشخص هو انت يامصطفى,Positive
1506,هذا اللى فالحين فيه العرب فقط الهبل التخلف,Negative
1507,هذا اللي انت فالح فيه بس كيف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب منها ياولد الحرام,Negative
1508,هذا اللي بالنص من لجنه الحكم مفكر نفسو وديع الصافي هو شقفه علاك,Negative
1509,هذا انا واغني وانا بالحمام وانتوا بكرامه صوتي احلا من العاهات هذيل,Negative
1510,هذا تشهير ملعون والدين المفروض ما يعرضونه,Negative
1511,هذا سلامي يسبق البرق الطير فيه الحروف معطره بالتحيه,Positive
1512,هذا صدق ولا مجنون ولا يستهبل وش القصه,Negative
1513,هذا عدا عن عنصريتكم البغيضه وجلافتكم وعنجهيتكم الفارغه مع بقيه الشعوب,Negative
1514,هذا لا يعني خلوها من الاشكال المصديه,Negative
1515,هذا ليس مضحك بل مخزى يا للخزى العار,Negative
1516,هذا معوق جنه جورج وسوف,Negative
1517,هذا هو الحب الاصيل الوفي بكل معنى الوفاء,Positive
1518,هذا هو الدين,Positive
1519,هذا هو المهم,Positive
1520,هذا واحد واطي ميمثل غير نفسه ,Negative
1521,هذه البرامج اللي تخلف العاهات للفن الهابط فن اليومين هذا,Negative
1522,هذه جزاء كل من يتطاول على رجال هذه الوطن العزيز,Positive
1523,هذه رويدا عطيه يا الخبوول,Negative
1524,هذه مشكله الذي يغني كثيرا في الحمام ويتصور انه اصبح مطرب,Negative
1525,هذه من اقوال الرفيق المناضل,Positive
1526,هذول مجانين اكيد ما بوافق مش هبله انا,Negative
1527,هذول مخانيث,Negative
1528,هذول مساجين ولا ايش,Negative
1529,هع بدها بس تعلق التعليقات الزنخه,Negative
1530,هع مش حلو,Negative
1531,هكذا المسلمون,Positive
1532,هل الثقه بالمشتركين الزياده لدرجه العمى او ان محيطهم يجاملهم بجمال صوتهم,Negative
1533,هل تعلم ان المطر يتشكل اولا على هيئه بلورات ثلج داخل الغيوم يتحول الى قطرات ماء بعد ذوبانه هو في طريقه الى اليابسه,Positive
1534,هل كلها صالحه للاستعمال ولا من اول استخدام تنفجر,Negative
1535,هلا كففت عن قسوتك,Negative
1536,هم اللي مصخرو انفسهم,Negative
1537,هما بس الى بيسعوا للغناء ده طبعا غير الاشتغالات والافلام الهندى الى نحن شفنها,Negative
1538,هنا نجد اصحاب السوء يحضرون بقوه لان ها هولاء لم يحظروالى بعد تشجيع من اناس حولهم,Negative
1539,هههه انا من ناحيتي هاظ الانسان الي قاعد بلنص اقرف واحد,Negative
1540,هو بن وسخه ادمان وبالذات لو متابع اخبار وحاجات يوميه,Negative
1541,هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته,Positive
1542,هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف,Negative
1543,هو نحن خلينا نخلص ام هالبرجين الللي صرلهم 16 سنه بعدين بنفكر نعمل نووي سلمي من الديسي,Negative
1544,هو هذا اسلامك يا زاني,Negative
1545,هؤلاء معوقين,Negative
1546,هي عندها صوت قوي بس للاسف الحين مثل غيرها,Negative
1547,هي فلسطين راحت من قليل يا ولاد المخنثه لعنه الله عليكم فظحتونا,Negative
1548,هيك بدهم الخونه اتباع ايران الاخوان المفسدون,Negative
1549,و اذا فادنا بشي رح يكون في خساره كبيره بالاخر,Negative
1550,و الناس يدرون شو بقول عنهم في نفسي وهم يتكلمون ما يكلمني حدا نهائي,Negative
1551,و الى اسماء الاسد كـــس اخـــت زوجـــك :,Negative
1552,و بحب الناس الرايقه الي بتضحك على طول,Positive
1553,و تربت على كتوفنا تشحننا بالتفاؤل ايضا صباحك اسعد,Positive
1554,و ما من دابه في الارض لا طائر يطير بجناحيه الا على الله رزقه,Positive
1555,و مفيش احلى من قضاء ربنا,Positive
1556,و نرجو لك دوام الخير المحبه من الله من الناس,Positive
1557,و هكذا جنت على نفسها براقش,Negative
1558,و يرزقكم من حيث لا تعلمون,Positive
1559,واثق من نفسه الحبيب,Negative
1560,واحد هامل,Negative
1561,واحد واطي,Negative
1562,وادم علينا يارب نعمه الامن والامان وسائر بلاد المسلمين,Negative
1563,واذكر ربك اذا نسيت وقل عسى ان يهدينى ربى لاقرب من هذا رشدا,Positive
1564,واسال الله من اثواب رحمته سترا جميلا على الزلات مشتملا وان ييسر لي سعيا اكون به مستبشرا جذلا لا باسرا وجلا *,Positive
1565,واضح جدا ان اغلب الناس هاي عندها مشاكل نفسيه,Negative
1566,واطي وماجور وسافل ومنحط وكريه وغبي وسطحي وحقو قرش مصدي وبيسوى صرمايه,Negative
1567,واعظمها امه سيدنا محمد,Positive
1568,والحاجه الي انت بتحبها دي هي مش اكتر من حاجه زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين,Positive
1569,والشرهه على الاغبياء اللي معطينك لايك,Negative
1570,والشكرلله والفضل لله على هذه النعمه التي انعم الله علينا بها وجعلنا من الماء كل شي حي,Positive
1571,والغناء تجد لك ??? مليون وكلهم زباله,Negative
1572,والله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب الله حرام,Negative
1573,والله الحياه كلها بتخزي بدونكم,Negative
1574,والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي الحمد لله وخات القرار,Positive
1575,والله الناس دي ما شايله هم ابدا علشان كده مسخرو نفسهم او كرامتهم راحت,Negative
1576,والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم,Positive
1577,والله انا خايف انو طخوا بعد هاي الصوره,Negative
1578,والله انك فشلت العرب,Negative
1579,والله انك ما زليه يا شيخ اكيد مدفوعله من تحت تحت,Negative
1580,والله انك مسخره يا عجوز,Negative
1581,والله انك مهزله,Negative
1582,والله انكو ما بتخافوالله,Negative
1583,والله انو مكب نفايات نوويه انا اشتغلت بالمفاعل موقعه بعلان بالسلط,Negative
1584,والله انو نذل,Negative
1585,والله اول واحد سمعته منهم احسب سماعتي خربا يا بطني من الضحك والله زاحفين,Negative
1586,والله ايلى اختشه ماتوا,Negative
1587,والله بذل نفسي مره اثنين خمسين عشان الغرام الحلال احلى لكن مين يحس يفهم يقدر,Positive
1588,والله تحشيش من الاخر,Negative
1589,والله ثقف نفسك ده بيقول كلام زى الفل,Positive
1590,والله حرام الناس مش لاقيه توكل حتى ترفعو البنزين,Negative
1591,والله حرام تكاليف زواج ومهر واخرتها طلاق بسبب شي تافهه,Negative
1592,والله حرام والله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء الله حرام,Negative
1593,والله حرام يعني ما يدرون انهم مصخره,Negative
1594,والله حرق لاخوات الكلب,Negative
1595,والله رفعتوا راسنا يا شباب الله يقويكم,Positive
1596,والله شككني في البرنامج انه سوبر ستار او برنامج كوميدي,Negative
1597,والله شوي وتجيني جلطه لما ماطلعت الاولى ذيك المره,Negative
1598,والله شويه عبط الي بيغنو والحكام كمان,Negative
1599,والله ظلموه لجنه الطراطير,Negative
1600,والله عاهات,Negative
1601,والله على بالي مجنون,Negative
1602,والله عيب بهدلتو حالكم,Negative
1603,والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير,Positive
1604,والله كذب من سوبر ستار القذر هذا,Negative
1605,والله لو انه فايز بعرب ايدول او من هل برامج الفارطه غير تلاقي اضعاف هذا العدد ياعمي شعب بحب السح اندح,Negative
1606,والله لو طلبوا مين اللي عندو قلب قوي ??? متر للجري مايتقدم ولا حمار عربي,Negative
1607,والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمده 30 ثانيه ليهربون لقبرص عن طريق البحر سباحه,Negative
1608,والله ما في اشي مزعلني الا انه اسمه محمد,Negative
1609,والله ما يحرر عزبت بنقاليه,Negative
1610,والله مش طبيعي حرام الله غير تنتشر السرقه النهب خرب الامان النشور,Negative
1611,والله مش عارفه شو بدنا نسوي نشحد مثلا,Negative
1612,والله نحن مو ناقصنا وجع قلب بس ضايل علينا النووي و صحه البشر مش برضو خطيه المسؤولين ? خلص ما عاد في شي فارق والله عحب,Negative
1613,والله نفسى بس الواحد بيجى عليه فترات ينسى يعمل ايه بجد,Positive
1614,والله نوفي صح لسانك,Negative
1615,والله هبل في هبل,Negative
1616,والله هذا الى حصل معانا ومع ناس كثيره بدل حب الحرام بحب الحلال يبدل الله كيانك,Positive
1617,والمصحف عاهات,Negative
1618,والنعم والاخلاق والنعم والصداقه والنعم الاخوه,Positive
1619,وان مدحتك بالقصائد ماوفيت,Positive
1620,وانا 100% بس شكلها هاي مو مدرسه,Negative
1621,وانا مع انو الطاقه الشمسيه هي البديل,Negative
1622,وانا من الناس اللي فعلا محتاجين يحاسبوا نفسهم ويصلحو من نفسهم لاننا عارفين انه لا ملجا لنا الا لله,Positive
1623,وانت اسكت لا تتحطم,Negative
1624,واي ناس فاظيين صج عاهات,Negative
1625,وبعدين تري مالقت دعم,Negative
1626,وبكل تبلد اعترف لكم  باني اقل نساء الارض صبرا,Negative
1627,وجعتو راسي,Negative
1628,وجعلنا من الماء كل شيء حي,Positive
1629,وجه الفطيره قبل تعيب الناس انظر الى حالك,Negative
1630,وجه حسن وضحكه تفتح النفس وعيون خلابه,Positive
1631,وجهك مش الك,Negative
1632,ودي اكسر الابتوب على راسه,Negative
1633,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم,Negative
1634,وربي عاهات مستعصيه,Negative
1635,وربي كلبتي جات جلست عندي اول ما فتحت هالفيديو ويوم خلص التفت لها الا والاقيها نايمه,Negative
1636,وزير التعليم العالي: لا زياده للدعم المالي للجامعات خلال السنوات الثلاث المقبله,Negative
1637,وسبب برفعه ضغطك,Negative
1638,وسدئيني انكووو كلاب,Negative
1639,وش التخلف هذا,Negative
1640,وش جابني هنا ثقيلين دم,Negative
1641,وش فيك معصب خلاص بعطيك اللايك الي جاني خخخ,Negative
1642,وش هالتحف والله مساكين ماكلين مقلب بقوه,Negative
1643,وش يحسون فيه يع,Negative
1644,وش يحسووون فيه ناس مهبل,Negative
1645,"وعجلت اليك ربي لترضي : كن كالمطر، اذا اقبل استبشر الناس به واذا حط نفعهم ، واذا رحل ترك اثرا نافعا فيهم واذا غاب اشتاقوا اليه .",Positive
1646,وعرض اختي انك لاسع يادمن عساس لو بدها تضرب من هسه خايفه منك,Negative
1647,وعلي الله قصد السبيل,Positive
1648,وقّـف قلبو لحسن الشافعي,Negative
1649,وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه,Negative
1650,ولا انا صورتي كذا اجي اهبال هوو,Negative
1651,ولا بقلو بيضه,Negative
1652,ولا تنسو تبسمك في وجه اخيك صدقه,Positive
1653,ولا جورج في الزمنات بس حرام يفضحوهم,Negative
1654,ولا خير في امرٍ كرهت ان يطّلع عليه الناس,Negative
1655,ولا شكل ولا صوت منين جايبينهم هالكائنات الغريبه اه يا بطني بس,Negative
1656,ولا مستحيل يطلع واحد يفشل نفسه كذا,Negative
1657,ولاه امرك الوهابيين يكرعون الخمر والسديقي كرعا بالسر والعلن دون تطبيق الحدود عليهم,Negative
1658,ولك تفيييه عليك,Negative
1659,ولك واحد كندره,Negative
1660,ولكن كيف ان المفاعل النووي غير مضر بالبيئه فهمني ؟؟,Negative
1661,ولكوم ما نحن ميتين من دون هالوسطه,Negative
1662,ولو هو انسان وعنده احاسيس ممكن من هالموقف اللي الكل يشوفه يتعقد هالانسان من حياته كلها,Negative
1663,وماذا عن التفاؤل في يوم ربيعي جميل نحقق به الامال الطوال,Positive
1664,ومن احسن قولاممن دعالي وعمل صالحاووقال انني من المسلمين ,Positive
1665,ومن خسئ الشيعه اخوان القرده الخنازير,Negative
1666,ومن منطلق المسؤوليه التاريخيه للهاشميين تجاه المقدسات ياتي اهتمام الهاشميين بالقدس ومقدساتها,Positive
1667,ونشوف اغلى الاحبه في الروضه الرحيبه,Positive
1668,ونعم بالله العلي العظيم ونعم بالله عزوجل,Positive
1669,ونعم بالله من اختار قرب الله فما خاب ابدا الله على دى راحه وده شعور الحمد لل,Positive
1670,وهابي تاج راسك يا اللي تاكل من وراك اذا في الوهابيه شئ مخالف لكتاب الله سنه نبيه اذكره لا تكون كالببغاء تردد خلف الناعقين لتثبت انك على الصراط انت في هوه الخراب طنت من طنوت سوريا,Negative
1671,وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير الجنه اللتي ستدخلها انت لا اريد دخولها  جهنم اشرفلي واهون علي من ان اكون مع احد الوهابين المنحطين لواطيي الاطفال,Negative
1672,وهاد اللي بخبص حكي ملوش معنا ابن مين هاد,Negative
1673,وهاي المضروبه جايخه على وين,Negative
1674,وهذه من اكبر المشاكل التي تؤرق الشباب في هذه الايام,Positive
1675,وياريت بتظبط الكذب ماوش رجلي,Positive
1676,ويحطمو رؤوسهم بارجلهم,Negative
1677,وين القناه التافه الى تعرض هذول المعاتيه صحيح نحن في انحطاط,Negative
1678,وين الماء كل يوم الميه مقطوعه,Negative
1679,وين بدهم يروحو يعني خالصه,Negative
1680,يا اخوان انتبهوا الى انه اكثر المشتركين المايعين من لبنان او سوريا وهذا حالهم لان تركوا مله الاسلام وتبعوا الميوع مع الشيطان,Negative
1681,يا اخوان نحن قرفنا,Negative
1682,يا اخي اطلع في صورتك بالمرايه وشوف ادائك هوه اداء فني+صوت مناسب قبل لا تفضح حالك في هيك برامج تافهه,Negative
1683,يا اخي وين ما تروح بالاردن تخطى مناطق الشخصيات المهمه بالبلد الباقي كله مكرهه صحيه,Negative
1684,يا ارحم الراحمين يا الله,Positive
1685,يا الله ارحم عبدك الفقير المسكين وجميع المسلمين والمسلمات,Positive
1686,يا الله استجب دعائي يالله مادكيت بابك يوم ورحعتني خاليه الوفاض,Positive
1687,يا الله عالمواساه يرحم ايام زمان,Positive
1688,يا الله كلامك بلسم,Positive
1689,يا الله ما احلاه من خبر والله فرحتوني,Positive
1690,يا ترى الحكومه بدها تزيد دعم المواطن الي الله يكون في عونه,Negative
1691,يا حبيبي هاي صار للرجال تنانير؟ تفي هيك رجاله,Negative
1692,يا خساره عليكو يا شباب المستقبل,Negative
1693,يا رب اجعلنا من الصالحين,Positive
1694,يا رب ارزقنا الفرح والسعاده,Positive
1695,يا رب اريد تجديد ايماني ساعدني,Positive
1696,يا رب استجب دعائنا وانصر اهلنا في سوريا,Positive
1697,يا رب اسعد قلبي و قرب لي الخير,Positive
1698,يا رب اللهم اجعلنى خير مما يظنون اغفر لى ما لا يعلمون,Positive
1699,"يا رب ان امسيت بحزن فاصبحني بفرح، و ان نمت على ضيق فايقظني على فرج و ان كنت بحاجه فلا تكلني الا لسواك",Positive
1700,يا رب بناتنا شبابنا كلهم يستطيعوا العمل بهذه النصيحه يا ريتا كلنا نتذكر اننا كلنا دعاه للاسلام باخلاقيتنا الصفات الحسنه,Positive
1701,يا رب خد بيدنا يا جبرنا يا جبار السموات والارض,Positive
1702,يا رب رضينا امنا صدقنا فارضينا برضاك عنا اجبر كسر قلوبنا هون علينا,Positive
1703,يا رب قويني علي نفسي يا رب تقبل منا الله,Positive
1704,يا رب نستغفرك ونتوب اليك يا رب ما لنا سواك,Positive
1705,يا رب يا خير الرازقين ارزق اهل سوريا جميع المسلمين النصر الثبات التقوى,Positive
